code,name,atr_pct
801950,煤炭,0.060823
801050,有色金属,0.057172
801080,电子,0.057138
801750,计算机,0.057122
801180,房地产,0.054578
801740,国防军工,0.054575
801210,社会服务,0.053104
801760,传媒,0.052046
801770,通信,0.051857
801010,农林牧渔,0.051292
801230,综合,0.051209
801040,钢铁,0.050089
801110,家用电器,0.049883
801730,电力设备,0.048556
801980,美容护理,0.048283
801150,医药生物,0.04811
801120,食品饮料,0.047589
801030,基础化工,0.046896
801200,商贸零售,0.046523
801790,非银金融,0.046094
801140,轻工制造,0.04587
801880,汽车,0.044492
801130,纺织服饰,0.044404
801710,建筑材料,0.044179
801890,机械设备,0.04117
801170,交通运输,0.040469
801160,公用事业,0.040439
801720,建筑装饰,0.040133
801970,环保,0.03576
801960,石油石化,0.035701
801780,银行,0.03455
